"name"	"country_code"	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
"Kenya"	404	40909	47615	54926	62990	71940	82090	93318	105725	119233	133968	149645	166743	184076	203361	222757	243202	265771	289043	313984
"Madagascar"	450	21080	24659	28849	33663	39129	45230	52171	59973	68881	78520	88986	100618	113077	126596	141356	157491	175005	192703	212514
"Malawi"	454	15014	17593	20619	24128	28189	32879	38214	44304	51208	58906	67443	76747	87397	98655	111161	124792	138848	154180	170154
"Mauritius"	480	1231	1270	1307	1341	1366	1383	1394	1401	1408	1413	1418	1419	1422	1425	1427	1432	1436	1443	1454
"Mayotte"	175	204	238	274	313	357	405	455	505	558	611	665	722	778	836	895	952	1006	1060	1113
"Mozambique"	508	23967	27587	31738	36713	42639	49558	57520	66462	76725	88194	100506	114120	128504	144521	161588	179237	198522	218569	239910
"Reunion"	638	845	908	969	1027	1084	1137	1190	1241	1286	1332	1375	1419	1460	1500	1546	1586	1626	1666	1702
"Rwanda"	646	10837	12648	14642	16813	19182	21686	24427	27350	30492	33698	37103	40508	43951	47469	51116	54394	57795	61123	64397
"Seychelles"	690	91	95	98	101	104	107	110	112	115	117	119	121	123	125	128	131	134	137	141
"Somalia"	706	9636	11297	13303	15739	18609	21961	25861	30448	35782	41998	48839	56564	65190	74788	85080	96781	108638	121367	135617
"South Sudan"	728	9941	12353	14386	16593	18988	21642	24673	27979	31671	35650	39934	44598	49534	54678	60206	65860	71893	77865	84176
"Uganda"	800	33987	40793	48873	58380	69565	82454	97533	114787	134332	156414	180974	208212	238240	270544	305025	343668	384469	429774	479088
"United Republic of Tanzania"	834	44973	53156	62534	73414	86060	100977	118391	138352	161234	186407	215095	246594	282692	321454	362562	407468	455949	508119	566541
"Zambia"	894	13217	15753	18820	22444	26724	31752	37724	44694	52830	62115	72748	84637	98321	114305	131829	151018	172867	197398	224431
"Zimbabwe"	716	13077	15349	17829	19986	22137	24342	26759	29397	32202	34898	37711	40484	43190	45820	48404	50888	53339	55913	58142
"Middle Africa"	911	124978	144606	167020	192515	221337	253292	288706	328017	371308	418251	469049	524633	583724	645376	709259	777099	846951	923797	1004249
"Angola"	24	19549	22991	27086	31875	37473	43937	51206	59492	68794	79346	91098	103917	117755	132919	149236	166267	185494	205513	225170
"Cameroon"	120	20624	23796	27402	31443	35951	41016	46690	53111	60161	67826	76007	84828	94300	104492	115316	126305	138062	150844	164828
"Central African Republic"	140	4350	4896	5519	6215	6989	7842	8802	9846	10985	12215	13513	14905	16313	17787	19367	21069	22776	24382	26080
"Chad"	148	11721	13847	16394	19516	23165	27437	32468	38259	44956	52441	60841	70367	81001	92694	105568	118626	133483	149130	166417
"Congo"	178	4112	4697	5369	6197	7157	8275	9542	10964	12541	14330	16253	18390	20769	23236	25982	28911	32185	35667	39375
"Democratic Republic of the Congo"	180	62191	72418	84287	98004	113743	131765	152261	175941	202447	232006	265744	301886	342750	387894	436795	488573	542814	603602	666289
"Equatorial Guinea"	226	696	813	947	1095	1261	1443	1648	1871	2126	2403	2692	2995	3317	3655	4003	4356	4721	5092	5468
"Gabon"	266	1556	1759	1995	2254	2533	2835	3156	3511	3877	4274	4680	5105	5554	6015	6486	6970	7480	7977	8490
"Sao Tome and Principe"	678	178	207	236	267	302	341	384	430	479	529	585	644	705	769	835	905	978	1053	1128
"Northern Africa"	912	199620	219008	239319	259420	278741	298063	317881	338353	359144	379412	399339	418377	438195	458970	479695	500805	522119	541529	562453
"Algeria"	12	37063	40780	44594	48010	50980	53698	56462	59382	62386	65268	67869	69966	72251	74626	77101	79799	82716	85285	87971
"Egypt"	818	78076	86193	94431	102571	110722	119345	128274	137806	147739	157130	167261	177028	187964	198916	208938	219225	230698	241257	251178
"Libya"	434	6041	6429	6999	7516	7974	8403	8824	9254	9643	10002	10311	10552	10780	11007	11234	11469	11672	11845	12006
"Morocco"	504	31642	34092	36582	39040	41268	43370	45382	47424	49399	51376	53314	55021	56677	58284	60194	62055	63878	65458	66992
"Sudan"	729	35652	40322	46206	52792	60099	67902	76505	85964	96205	107411	119130	131995	145194	159279	175118	191088	207908	226282	244682
"Tunisia"	788	10632	11270	11975	12613	13148	13586	13972	14358	14726	15051	15316	15505	15640	15762	15918	16146	16412	16671	16941
"Western Sahara"	732	515	614	717	775	827	874	917	958	995	1030	1059	1082	1106	1131	1156	1182	1211	1233	1252
"Southern Africa"	913	58803	62360	65760	69216	72670	76420	80472	84774	89130	93409	97632	101971	105891	109806	113495	117429	120962	124201	126747
"Botswana"	72	1969	2096	2240	2393	2562	2744	2942	3154	3375	3600	3814	4003	4176	4345	4508	4661	4789	4926	5028
"Lesotho"	426	2009	2164	2326	2495	2665	2848	3056	3287	3541	3800	4049	4284	4548	4794	5062	5353	5599	5852	6118
"Namibia"	516	2179	2441	2716	3012	3314	3604	3917	4233	4570	4908	5259	5590	5921	6233	6564	6872	7155	7436	7678
"South Africa"	710	51452	54446	57247	60157	63070	66269	69642	73341	77019	80730	84627	88442	91848	95580	98935	102427	105955	109066	111403
"Swaziland"	748	1193	1312	1428	1544	1664	1789	1930	2085	2249	2421	2596	2775	2951	3134	3308	3476	3645	3803	3972
"Western Africa"	914	305088	351387	404638	465598	536093	617196	710027	814011	930552	1060940	1204516	1362156	1530762	1717100	1916216	2126564	2349602	2580283	2820332
"Benin"	204	9510	11061	12791	14725	16852	19172	21721	24473	27467	30715	34262	37837	41693	45814	50125	54671	59377	64235	69213
"Burkina Faso"	854	15540	18195	21272	24828	28891	33503	38767	44705	51390	58873	67189	76150	85919	96491	107891	120519	133690	147331	162057
"Cape Verde"	132	488	518	553	589	625	660	695	731	765	797	825	851	873	891	906	923	936	950	962
"Cote d'Ivoire"	384	18977	21455	24304	27508	31034	34998	39496	44403	49899	55944	62474	69507	77002	85380	94075	103418	113275	123361	134348
"Gambia"	270	1681	1982	2345	2774	3281	3879	4571	5375	6303	7374	8559	9859	11312	12857	14442	16099	17934	19739	21633
"Ghana"	288	24263	27501	30957	34622	38493	42586	46988	51818	56836	62087	67713	73603	79642	85650	92168	98594	105241	112638	120138
"Guinea"	324	10876	12557	14461	16612	19004	21689	24608	27900	31414	35268	39219	43540	48101	52718	57753	63043	68559	74032	79788
"Guinea-Bissau"	624	1587	1817	2076	2370	2694	3056	3470	3935	4457	5036	5686	6378	7154	7998	8894	9894	10958	12115	13388
"Liberia"	430	3958	4578	5272	6059	6950	7957	9084	10305	11647	13113	14738	16428	18278	20131	22248	24399	26690	29094	31565
"Mali"	466	13986	16377	19426	23181	27786	33355	40080	48234	57776	69091	82372	97573	114727	134664	157454	182476	210407	242786	278841
"Mauritania"	478	3609	4099	4661	5288	5984	6731	7546	8435	9397	10451	11593	12836	14166	15562	17124	18702	20430	22170	24111
"Niger"	562	15894	19382	23776	29354	36355	45093	56029	69472	85993	106208	130466	159585	194312	234020	279657	333061	396015	463823	539213
"Nigeria"	566	159708	184941	214643	249925	291974	341828	401069	470185	551168	642772	746090	866484	999945	1147800	1307200	1475842	1653257	1837783	2032624
"Saint Helena"	654	4	4	4	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6
"Senegal"	686	12951	15047	17466	20183	23184	26511	30255	34447	38904	43883	49323	55268	61670	68244	75518	83230	91296	99629	108650
"Sierra Leone"	694	5752	6433	7174	7973	8861	9817	10868	12036	13285	14641	16172	17766	19524	21419	23456	25637	27827	30199	32652
"Togo"	768	6306	7212	8245	9386	10639	12045	13588	15260	17138	19150	21311	23690	26202	28979	31913	34905	38154	41543	45245
"ASIA"	935	4165440	4417602	4653366	4865244	5052709	5224182	5375812	5509664	5621694	5723746	5806403	5868468	5930783	5987480	6034640	6079951	6133658	6170502	6230553
"Eastern Asia"	906	1593571	1649067	1694045	1723945	1742246	1752846	1757185	1754520	1745589	1727876	1707403	1684602	1664631	1642875	1626300	1617376	1615970	1615381	1616638
"China"	156	1359821	1412619	1456479	1486142	1505569	1518304	1525189	1525777	1517976	1505267	1488552	1470765	1454558	1437756	1426475	1420055	1421034	1424312	1427639
"China, Hong Kong SAR"	344	7050	7380	7694	7972	8196	8371	8495	8615	8750	8853	8915	8957	8985	8999	9031	9106	9186	9252	9302
"China, Macao SAR"	446	535	590	640	689	732	769	802	835	868	899	925	947	965	979	990	999	1011	1020	1027
"Dem. People's Republic of Korea"	408	24501	25276	26190	27120	27979	28654	29247	29785	30386	30979	31579	32148	32714	33353	33950	34608	35203	35848	36392
"Japan"	392	127353	127735	127310	126239	124711	122776	120677	118677	116952	115316	113771	111875	110131	108705	107853	107453	107355	107320	107489
"Mongolia"	496	2713	2935	3159	3360	3536	3707	3896	4094	4286	4459	4615	4771	4937	5118	5313	5514	5717	5907	6145
"Republic of Korea"	410	48454	50137	51612	52957	54130	54927	55419	55614	55600	55461	55109	54562	53950	53361	52892	52431	52258	52112	51995
"Other non-specified areas"	158	23146	23721	24228	24618	24807	24827	24678	24405	24047	23622	23201	22743	22282	21816	21450	21218	21033	20886	20808
"South-Central Asia"	921	1743101	1884181	2025173	2160597	2291070	2418504	2539718	2658502	2770105	2876535	2974296	3062991	3146800	3227537	3297323	3366515	3442541	3508014	3570926
"Central Asia"	5500	61694	66863	72020	76761	80817	84638	88686	92765	96667	100074	103222	106104	109141	112275	115340	118392	121366	124288	127600
"Kazakhstan"	398	15921	16985	17985	18863	19600	20364	21261	22217	23217	24122	25020	25897	26953	28136	29333	30477	31663	32907	34180
"Kyrgyzstan"	417	5334	5729	6283	6803	7256	7684	8158	8689	9228	9744	10242	10731	11285	11844	12421	12984	13579	14245	14881
"Tajikistan"	762	7627	8640	9790	10944	12071	13257	14593	16112	17698	19300	20946	22740	24655	26674	28743	30919	33022	35264	37799
"Turkmenistan"	795	5042	5465	5884	6270	6622	6923	7232	7529	7832	8101	8324	8544	8752	8976	9189	9404	9591	9784	9930
"Uzbekistan"	860	27769	30238	32615	34817	36693	38398	40024	41656	43227	44478	45434	46395	47341	48282	49137	50095	50917	51733	52667
"Southern Asia"	5501	1681407	1817915	1954726	2086536	2213664	2338549	2456910	2574384	2682047	2784658	2881817	2971205	3055404	3137168	3207423	3279369	3348825	3413681	3475281
"Afghanistan"	4	28398	32007	36383	41456	46943	52560	58201	63601	69052	74480	79622	84637	88856	92631	96136	99317	101852	103979	106173
"Bangladesh"	50	151125	163199	175773	187972	199580	210928	221778	232218	241994	250825	259222	267164	273722	280150	285857	291345	296998	301653	306906
"Bhutan"	64	717	790	853	911	965	1017	1066	1112	1157	1198	1238	1271	1298	1322	1341	1361	1384	1403	1425
"India"	356	1205625	1303736	1400361	1496331	1590664	1683098	1773267	1861647	1949667	2036599	2117824	2197659	2279152	2351296	2422154	2495673	2571474	2646148	2719358
"Iran (Islamic Republic of)"	364	74462	79759	85201	90165	94606	98807	103069	107056	110606	113688	116300	118411	120055	121229	122339	123500	124617	126397	128299
"Maldives"	462	326	359	395	429	460	489	517	547	575	601	625	644	661	677	690	701	712	723	734
"Nepal"	524	26846	28558	30636	32832	35042	37122	39127	41015	42808	44644	46271	47979	49487	50701	51819	52843	53666	54557	55531
"Pakistan"	586	173149	191626	211464	231606	251588	271005	289783	308914	328111	345787	362797	378337	392708	407451	420411	433648	446563	457877	468525
"Sri Lanka"	144	20759	21688	22674	23543	24301	24977	25625	26250	26795	27305	27778	28249	28725	29265	29867	30450	31148	31763	32411
"South-Eastern Asia"	920	597097	638784	678723	716960	752688	785832	816234	843843	869704	892476	913340	931801	949295	967392	984661	1000009	1018370	1033811	1048190
"Brunei Darussalam"	96	401	435	467	500	531	559	585	608	628	647	663	678	694	709	725	739	753	766	781
"Cambodia"	116	14365	15976	17624	19221	20728	22307	23979	25731	27518	29217	30927	32625	34299	35941	37499	39136	40737	42287	43803
"Indonesia"	360	240676	259696	277909	295933	313819	331331	347856	363286	377747	392434	405941	419004	432182	445060	458192	471908	483611	494694	505230
"Lao People's Democratic Republic"	418	6396	7163	7975	8794	9601	10400	11238	12077	12904	13669	14447	15149	15817	16401	16979	17493	17941	18470	18970
"Malaysia"	458	28276	31152	34001	36789	39452	41901	44183	46435	48667	50859	52900	54668	56156	57691	59061	60504	61768	62939	64067
"Myanmar"	104	51931	55018	57967	60610	62842	64559	66000	67239	68456	69557	70322	70913	71367	71864	72697	73536	74468	75351	76160
"Philippines"	608	93444	103644	114629	126523	138884	151235	164345	178412	192981	209056	224587	240590	256882	273375	289890	307936	325936	343935	363038
"Singapore"	702	5079	5660	6154	6502	6828	7102	7329	7526	7720	7884	8032	8142	8226	8280	8324	8367	8389	8394	8396
"Thailand"	764	66402	68237	69734	70964	71782	72244	72308	72036	71460	70481	69344	68209	67167	66275	65580	64873	64361	64013	63761
"Timor-Leste"	626	1079	1193	1345	1540	1763	2001	2273	2579	2945	3365	3830	4334	4889	5488	6157	6881	7596	8355	9240
"Viet Nam"	704	89047	93602	98511	102756	106282	109371	112057	114152	115643	116608	117130	117318	117308	117126	116886	117061	117115	117645	118451
"Western Asia"	922	231671	256511	280485	303261	325041	346397	367322	387951	407695	426020	443017	457986	472895	485726	499173	511975	523023	535349	547060
"Armenia"	51	2963	3017	3045	3075	3086	3090	3095	3089	3068	3041	3010	2975	2949	2916	2884	2858	2843	2845	2848
"Azerbaijan"	31	9095	9642	10186	10609	10916	11164	11393	11593	11744	11834	11895	11968	12031	12083	12164	12251	12368	12503	12668
"Bahrain"	48	1252	1378	1519	1634	1730	1823	1914	2000	2076	2142	2191	2226	2247	2253	2259	2259	2270	2280	2300
"Cyprus"	196	1104	1180	1253	1317	1375	1421	1457	1488	1511	1531	1545	1554	1560	1565	1569	1575	1586	1596	1606
"Georgia"	268	4389	4341	4275	4190	4102	4029	3980	3939	3907	3885	3873	3864	3872	3882	3900	3926	3966	4009	4054
"Iraq"	368	30962	36409	42272	48724	55343	62487	70130	78448	87174	96505	106429	117025	127716	138841	150875	163358	176461	189341	202699
"Israel"	376	7420	7942	8633	9348	10091	10872	11722	12608	13516	14481	15457	16487	17600	18731	19912	21097	22359	23601	24870
"Jordan"	400	6455	7836	8410	9269	10107	10989	11905	12846	13783	14673	15540	16410	17284	18139	18990	19812	20631	21336	21945
"Kuwait"	414	2992	3612	4086	4558	5028	5503	5996	6512	7037	7557	8044	8512	8998	9495	10000	10526	11062	11565	12095
"Lebanon"	422	4341	5125	5042	5305	5523	5695	5846	5979	6111	6230	6318	6360	6377	6377	6351	6325	6310	6308	6309
"Oman"	512	2803	4165	4579	4899	5117	5261	5347	5462	5590	5701	5780	5814	5781	5700	5603	5549	5557	5660	5787
"Qatar"	634	1750	2373	2593	2742	2869	2984	3091	3190	3270	3312	3306	3254	3170	3071	2977	2912	2878	2873	2875
"Saudi Arabia"	682	27258	30381	33407	35882	37901	39862	42028	44354	46587	48440	49865	51038	52064	52991	53875	54564	55324	56256	56931
"State of Palestine"	275	4013	4633	5346	6145	7000	7912	8869	9881	10963	12123	13324	14586	15889	17251	18680	20161	21643	23214	24783
"Syrian Arab Republic"	760	21533	22265	26162	28838	31595	34262	36930	39575	42208	44810	47289	49631	51861	53887	55687	57511	59251	60984	62648
"Turkey"	792	72138	77855	82850	87778	92523	97030	101234	105396	109304	112712	115783	118605	121034	123157	125235	127690	130003	131987	134003
"United Arab Emirates"	784	8442	9588	10719	11712	12698	13744	14823	15857	16796	17535	18100	18445	18546	18498	18420	18448	18551	18684	18736
"Yemen"	887	22763	26006	29562	33318	37077	40806	44513	48222	51898	55553	58863	62028	65023	67725	69894	71782	73600	75231	76810
"EUROPE"	908	740308	745670	748873	749291	747597	745047	742231	739672	737166	733530	729722	726276	723721	723589	724507	726558	730132	734205	737190
"Eastern Europe"	923	296183	294204	291427	287159	282007	276492	271705	267611	263795	260106	256486	253332	250796	249188	248949	249093	250547	252159	253670
"Belarus"	112	9491	9343	9195	9027	8825	8617	8429	8270	8111	7951	7798	7670	7577	7511	7476	7468	7480	7499	7533
"Bulgaria"	100	7389	7168	6945	6710	6456	6210	5997	5811	5627	5446	5271	5120	5004	4932	4908	4912	4932	4992	5048
"Czech Republic"	203	10554	10872	11122	11319	11457	11571	11715	11905	12124	12319	12474	12629	12800	13031	13283	13567	13859	14121	14433
"Hungary"	348	10015	10006	9994	9968	9929	9863	9811	9786	9776	9775	9750	9705	9646	9630	9654	9681	9720	9763	9795
"Poland"	616	38199	38556	38861	39017	38925	38557	38040	37529	37072	36708	36286	35684	35052	34505	34135	33947	33926	34006	33976
"Republic of Moldova"	498	3573	3488	3427	3358	3262	3161	3069	2990	2908	2855	2806	2762	2730	2709	2694	2677	2681	2688	2702
"Romania"	642	21861	21768	21618	21372	21043	20687	20330	19972	19607	19207	18739	18262	17826	17471	17188	17044	16955	16914	16930
"Russian Federation"	643	143618	143344	142577	140853	138892	137194	135924	134996	134066	133576	133170	133160	133479	134189	135779	137467	139596	141826	143672
"Slovakia"	703	5433	5507	5572	5613	5617	5586	5545	5495	5453	5408	5350	5273	5194	5121	5074	5054	5053	5054	5059
"Ukraine"	804	46050	45037	43955	42743	41401	40092	38986	38078	37194	36314	35433	34659	34095	33683	33460	33463	33464	33484	33602
"Northern Europe"	924	98795	101982	105242	108313	111121	113711	116266	118989	121778	124410	126903	129472	131985	134591	137345	139943	142460	145209	147530
"Channel Islands"	830	160	165	170	175	179	183	187	191	194	196	199	202	204	207	209	212	214	216	218
"Denmark"	208	5551	5703	5862	6034	6206	6364	6511	6658	6820	6995	7188	7378	7578	7782	7978	8187	8401	8609	8794
"Estonia"	233	1299	1288	1279	1268	1253	1237	1224	1212	1203	1196	1187	1180	1175	1175	1181	1187	1198	1210	1223
"Faeroe Islands"	234	50	50	51	53	55	57	58	60	62	63	65	68	71	74	76	79	83	86	89
"Finland"	246	5368	5500	5623	5733	5827	5900	5960	6029	6115	6214	6320	6441	6561	6679	6813	6937	7065	7206	7352
"Iceland"	352	318	340	361	382	400	416	431	445	458	471	483	495	507	519	530	543	555	567	581
"Ireland"	372	4468	4764	5042	5289	5518	5745	5980	6221	6462	6680	6867	7042	7217	7404	7606	7821	8048	8257	8450
"Isle of Man"	833	84	88	91	94	97	99	102	104	106	108	110	112	113	115	117	119	121	122	124
"Latvia"	428	2091	2049	2010	1969	1933	1896	1869	1855	1847	1842	1839	1835	1835	1841	1863	1893	1924	1957	1988
"Lithuania"	440	3068	3012	2975	2943	2906	2865	2823	2791	2769	2751	2730	2707	2685	2677	2677	2696	2721	2742	2767
"Norway"	578	4891	5177	5479	5746	6007	6255	6493	6736	6998	7256	7507	7754	7991	8248	8509	8763	8999	9241	9468
"Sweden"	752	9382	9763	10184	10623	11040	11436	11860	12352	12908	13468	14040	14601	15160	15782	16434	17071	17691	18299	18924
"United Kingdom"	826	62066	64300	66572	68729	70749	72624	74425	76378	78395	80355	82153	83906	85787	87750	89812	91786	93763	95782	97615
"Southern Europe"	925	154712	156907	158148	158760	159126	159262	159286	159107	158590	157607	156137	154698	153408	152632	152255	152441	152839	153381	153836
"Albania"	8	3150	3207	3280	3355	3423	3455	3445	3409	3366	3334	3312	3285	3249	3204	3157	3107	3084	3080	3095
"Andorra"	20	78	82	86	89	93	96	99	102	105	107	109	110	112	113	115	116	118	119	120
"Bosnia and Herzegovina"	70	3846	3839	3838	3838	3828	3796	3740	3673	3610	3555	3497	3437	3371	3303	3243	3191	3151	3124	3111
"Croatia"	191	4338	4292	4260	4220	4171	4114	4056	3990	3928	3868	3809	3752	3704	3666	3636	3619	3613	3614	3622
"Gibraltar"	292	29	30	30	30	30	30	30	29	29	29	29	29	29	29	29	29	29	29	29
"Greece"	300	11110	11212	11251	11291	11318	11350	11386	11436	11450	11430	11376	11318	11297	11320	11371	11455	11547	11652	11752
"Holy See"	336	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Italy"	380	60509	61599	62343	62806	63261	63644	64021	64391	64751	64980	64951	65062	65259	65699	66257	67070	67879	68890	69801
"Malta"	470	425	436	447	455	460	462	463	464	466	468	469	470	471	471	471	471	471	471	472
"Montenegro"	499	620	629	636	640	642	641	640	637	635	632	629	627	625	624	625	627	629	631	636
"Portugal"	620	10590	10734	10835	10904	10950	10978	10986	10971	10938	10871	10780	10679	10571	10496	10431	10402	10394	10401	10382
"San Marino"	674	31	32	33	34	34	35	35	35	36	36	36	36	36	36	36	36	36	36	37
"Serbia"	688	9647	9542	9420	9271	9082	8872	8628	8382	8154	7919	7667	7425	7192	6998	6817	6694	6602	6549	6514
"Slovenia"	705	2054	2095	2126	2143	2153	2158	2164	2172	2177	2177	2173	2169	2170	2179	2188	2203	2220	2240	2258
"Spain"	724	46182	47565	48553	49227	49794	50389	51034	51611	52024	52128	51973	51754	51633	51670	51928	52369	52863	53427	53952
"TFYR Macedonia"	807	2102	2136	2166	2185	2191	2185	2176	2164	2152	2137	2115	2091	2064	2041	2022	2013	2008	2008	2014
"Western Europe"	926	190618	193969	197005	199499	201609	203311	204691	205803	207014	208015	209042	210362	212089	214236	216508	218953	221050	223716	225945
"Austria"	40	8402	8622	8853	9086	9305	9500	9683	9875	10058	10236	10401	10569	10744	10927	11114	11308	11512	11696	11859
"Belgium"	56	10941	11269	11541	11800	12043	12275	12515	12759	13016	13259	13504	13762	14063	14390	14766	15148	15502	15898	16321
"France"	250	63231	65415	67512	69472	71418	73312	75162	77002	78856	80793	82933	84983	87206	89541	91948	94596	97242	100149	102999
"Germany"	276	83017	83208	83263	83014	82514	81818	80995	80182	79446	78487	77626	76939	76368	76027	75886	75907	76165	76529	76887
"Liechtenstein"	438	36	38	39	41	43	44	45	46	47	49	50	51	52	53	54	55	56	57	58
"Luxembourg"	442	508	547	585	621	656	687	714	737	756	774	790	806	820	834	848	861	874	887	896
"Monaco"	492	37	39	41	43	46	49	52	55	58	62	65	69	73	76	79	83	86	88	91
"Netherlands"	528	16615	16961	17280	17570	17816	17983	18097	18141	18198	18255	18370	18532	18732	18954	19186	19455	19771	20076	20400
"Switzerland"	756	7831	8297	8776	9277	9778	10257	10731	11214	11722	12222	12712	13164	13593	13981	14364	14732	15070	15358	15602
"LATIN AMERICA AND THE CARIBBEAN"	904	596191	635616	673643	710245	744103	775497	803994	830312	852920	873989	891246	905365	918206	928342	936078	943957	950244	955876	961718
"Caribbean"	915	41625	43513	45319	47032	48644	50035	51291	52409	53364	54216	54937	55647	56421	57080	57799	58501	59331	60055	60945
"Anguilla"	660	14	15	16	16	17	17	17	18	18	18	18	18	18	19	19	19	19	19	20
"Antigua and Barbuda"	28	87	93	99	106	112	117	123	128	133	138	142	147	151	156	161	166	171	175	180
"Aruba"	533	102	105	108	111	113	115	116	116	116	117	117	118	119	120	121	122	123	124	125
"Bahamas"	44	360	391	418	444	467	488	507	526	544	562	578	592	606	619	631	643	654	665	676
"Barbados"	52	280	290	299	308	317	324	331	337	343	349	356	362	369	375	383	390	398	407	416
"British Virgin Islands"	92	27	29	31	33	34	35	37	38	39	40	41	42	43	44	45	46	47	48	49
"Caribbean Netherlands"	535	18	20	22	23	24	25	25	26	26	26	26	27	27	28	28	29	29	30	30
"Cayman Islands"	136	56	60	64	67	69	70	72	73	73	73	73	73	74	75	75	77	78	79	80
"Cuba"	192	11282	11378	11436	11431	11396	11287	11128	10915	10643	10323	9976	9654	9376	9154	8970	8814	8680	8602	8557
"Curacao"	531	148	166	175	182	187	191	194	197	200	202	203	205	208	210	214	217	220	224	228
"Dominica"	212	71	74	77	79	81	83	84	86	87	88	89	90	91	93	94	95	96	98	99
"Dominican Republic"	214	10017	10826	11622	12386	13136	13876	14583	15283	15955	16554	17203	17783	18398	19019	19551	20063	20603	21096	21575
"Grenada"	308	105	109	112	115	116	116	116	116	115	116	117	119	121	123	125	127	130	132	135
"Guadeloupe"	312	459	474	488	503	515	525	533	539	543	547	552	558	566	576	586	596	606	617	627
"Haiti"	332	9896	10810	11762	12727	13698	14704	15773	16857	17996	19122	20223	21314	22376	23543	24699	25881	26898	27942	28964
"Jamaica"	388	2741	2856	2971	3078	3165	3229	3282	3326	3352	3375	3404	3426	3462	3499	3538	3569	3617	3677	3750
"Martinique"	474	401	410	420	429	436	443	446	448	448	447	447	448	450	454	459	464	468	473	479
"Montserrat"	500	5	5	5	6	6	6	6	7	7	7	7	7	7	8	8	8	8	8	9
"Puerto Rico"	630	3710	3728	3778	3846	3908	3966	4015	4063	4104	4141	4161	4186	4208	4222	4242	4255	4285	4317	4349
"Saint Kitts and Nevis"	659	52	56	60	64	67	70	73	76	78	81	83	85	88	90	92	94	96	99	100
"Saint Lucia"	662	177	188	198	207	216	223	230	237	243	248	253	257	262	265	269	272	276	281	284
"Saint Vincent and the Grenadines"	670	109	111	113	115	118	121	125	129	132	135	139	142	145	148	150	153	156	158	161
"Sint Maarten (Dutch part)"	534	43	47	52	56	59	62	65	67	68	69	70	71	72	72	73	73	74	74	75
"Trinidad and Tobago"	780	1328	1359	1374	1373	1361	1348	1333	1314	1289	1260	1233	1211	1190	1176	1169	1169	1171	1176	1182
"Turks and Caicos Islands"	796	31	35	38	41	43	45	47	49	51	52	53	54	55	56	57	58	59	60	61
"United States Virgin Islands"	850	106	107	108	108	108	109	110	111	113	116	118	122	126	131	136	141	147	153	159
"Central America"	916	160546	174245	187917	201454	214556	227106	238986	250504	261807	271890	281556	290382	298841	307175	314510	322136	330168	337827	344937
"Belize"	84	309	354	401	450	499	549	602	656	711	765	820	873	923	977	1028	1075	1123	1169	1208
